gene	logFC	padj
LASP1	-0.172502171	0.115010376
SNX11	-0.143145251	0.0696586
TMEM176A	-0.935046826	0.638573123
M6PR	-0.08468083	0.273467917
KLHL13	0.384901327	0.416678144
CYP26B1	-0.263760581	0.544748248
ICA1	-0.149995853	0.754157474
DBNDD1	0.554208329	0.004150566
ALS2	-0.141180585	0.101161579
CASP10	0.196134578	0.793371025
CFLAR	-0.096866379	0.538564692
TFPI	-0.4270795	0.075413805
NDUFAF7	-0.132104446	0.208387988
RBM5	0.234605196	0.04623623
MTMR7	-0.148085647	0.676623079
SLC7A2	0.903287248	0.00297931
ARF5	-0.004053516	0.972993844
SARM1	0.585090751	0.042305302
POLDIP2	-0.118266566	0.115488906
PLXND1	0.201938031	0.074290755
AK2	-0.544500298	0.001032799
FKBP4	-0.03502684	0.756219077
RBM6	-0.207640126	0.017302756
CAMKK1	0.191794702	0.465636156
RECQL	-0.304189447	0.005847644
VPS50	-0.373040193	0.005569569
HSPB6	-1.232389199	0.065154284
ARHGAP33	-0.137132581	0.60575382
NDUFAB1	-0.079202913	0.314735666
PDK4	-0.34795941	0.546561679
ZMYND10	-0.322353072	0.688135888
SLC25A13	-0.023620493	0.874035713
ST7	-0.238322021	0.016579454
CDC27	-0.065040533	0.378230983
HCCS	0.149205848	0.193532165
PRSS22	-0.346096065	0.676058801
UPF1	-0.010503729	0.916776939
SKAP2	-0.191681277	0.051272898
SLC25A5	0.019830893	0.835937656
MCUB	-0.16357762	0.102371595
POLR2J	0.005029993	0.980336105
THSD7A	-0.155734015	0.857062922
LIG3	-0.165095317	0.030723336
RPAP3	-0.086676592	0.370516904
ACSM3	-0.252926834	0.47971022
REXO5	-1.567736083	0.000237188
CIAPIN1	0.003168068	0.96554387
SPPL2B	0.110257932	0.330136355
FAM214B	0.097614558	0.428610546
COPZ2	0.147986563	0.781371771
PRKAR2B	0.163930529	0.585367587
WDR54	-0.006994884	0.958049098
CROT	-0.043437431	0.810184212
RHBDD2	0.246833048	0.007561621
IBTK	0.069301989	0.528615044
FBXL3	0.032644128	0.684499113
PDK2	0.386914351	0.020239585
ITGA3	-0.321771674	0.06681287
LAMP2	0.911187839	6.17E-05
ASB4	-0.3071362	0.691428586
GDE1	-0.111671535	0.134099024
REX1BD	0.055623709	0.674421612
CRLF1	0.242524214	0.41122943
OSBPL7	0.744012794	0.001221383
TMEM98	-0.607749	0.078946603
MAP3K14	-0.102871805	0.32069572
ABCC8	-1.157956352	0.062440635
TMEM132A	0.863702814	0.000600663
AP2B1	-0.620795544	0.000224421
CX3CL1	0.017986895	0.976730993
SPATA20	0.218477067	0.054908819
CACNA1G	1.184836346	0.243925644
TNFRSF12A	-0.677608473	0.005562714
MAP3K9	-0.121060728	0.292112892
RALA	-0.349906383	0.002244192
BAIAP2L1	-0.270165535	0.032868459
AGK	0.004475188	0.980028515
ALDH3B1	0.479134215	0.032815894
TTC22	0.655473368	0.124955077
PHTF2	0.011740149	0.930164106
FARP2	-0.099419956	0.597442258
USH1C	0.002901386	0.985340971
GGCT	-0.485162708	0.001124521
DBF4	-0.768561866	0.000197656
TBXA2R	0.851823277	0.031554842
IFRD1	-0.518800459	0.006089653
COX10	0.010294426	0.939071691
VPS41	0.09111752	0.313707225
ARHGAP44	0.416709591	0.153134032
ELAC2	0.079119624	0.271107337
SCIN	-0.34905933	0.69972802
ARSD	0.002682906	0.987831387
PNPLA4	-0.376661239	0.486755607
ADIPOR2	-0.019609031	0.863028123
CDKL3	0.510612994	0.171258114
PRSS21	0.557481672	0.606516557
MARK4	0.316474957	0.017747499
PROM1	-0.381247885	0.796295085
CCDC124	-0.163278977	0.261557101
PAFAH1B1	-0.022227339	0.7163664
KIAA0100	1.075485678	5.39E-05
GAS7	-1.306890073	0.366205081
TRAPPC6A	0.432034802	0.039501382
MATK	0.307242136	0.756601575
CEACAM7	1.313720277	0.329168456
ST7L	0.013814316	0.941293844
RPUSD1	0.129799031	0.192518303
RHBDF1	0.349029271	0.077528303
LUC7L	0.119002447	0.371993083
CACNA2D2	1.033803299	0.034417456
BAIAP3	0.417174841	0.186227598
TSR3	0.172832236	0.094425486
PIGQ	0.318064984	0.138300239
CRAMP1	0.031818139	0.823024672
DNAJC11	0.027638822	0.737536401
FMO3	0.480435035	0.652966817
MYLIP	-0.227834145	0.329662389
PSMB1	-0.172060989	0.012196718
SYN1	0.802407371	0.26472467
CDKL5	-0.127749677	0.607861107
CDK11A	0.010849766	0.944503893
NADK	0.076984743	0.207156338
CYTH3	-0.117824977	0.368691347
ADAM22	0.304688669	0.032991187
SYPL1	-0.058034247	0.332718248
CYB561	0.081648823	0.386041395
SPAG9	-0.221229254	0.001924261
CELSR3	0.359715752	0.011788264
AASS	0.865175788	0.000755369
PLEKHG6	0.378521563	0.01295443
MPND	0.413735381	0.037275009
MGST1	-0.262361052	0.088313701
ST3GAL1	0.024024389	0.887244596
MMP25	0.757275031	0.273400837
IL32	0.361105865	0.330237705
PKD1	0.425432386	0.01171108
MAPK8IP2	1.636404605	0.001406809
RHOBTB2	0.588856833	0.003048474
HEATR5B	-0.118662243	0.227899449
SEC62	0.117854647	0.123235145
RPS20	-0.192890104	0.065384112
UBE3C	-0.122329995	0.12294335
REV3L	0.123691709	0.326713857
IYD	1.089633672	0.45034802
FAM76A	0.08096804	0.652332414
POMT2	0.117982833	0.297120878
VTA1	-0.194698046	0.007967491
RANBP9	-0.341847318	0.001236821
SPRTN	-0.119625632	0.195242678
EEF1AKNMT	-0.053674173	0.403635966
DYRK4	0.009888645	0.973928743
UQCRC1	0.106808897	0.112093245
STARD3NL	-2.093534993	2.90E-05
CD9	0.08885455	0.243081931
NCAPD2	-0.378586348	0.011628275
IFFO1	0.193735072	0.68811323
GIPR	0.068882907	0.837122556
PHF7	-0.573701978	0.094973718
SEMA3G	0.085963547	0.907720887
NISCH	0.214860942	0.048508798
FUZ	0.101478604	0.878563907
IDS	0.045471119	0.801915266
PRSS3	-0.925904482	0.077972754
CD4	0.887891079	0.389473749
LRRC23	-0.286558238	0.110093016
HFE	0.269037781	0.064321724
FYN	-0.413190995	0.092985075
ELOA	-0.264396789	0.001924261
LYPLA2	0.083206856	0.427574217
CLCN6	0.10827929	0.39330001
MRC2	-0.02123621	0.96554387
NME1-NME2	-0.210106422	0.462381766
TSPAN9	0.157016733	0.212551133
BTBD7	0.09449228	0.17922113
APBA3	0.009386749	0.94931364
MKS1	-0.250257881	0.21911252
ABHD5	-0.242929067	0.00794897
ANOS1	0.22295026	0.744323401
AKAP8L	0.31107353	0.004288204
UTP18	-0.284789935	0.009400236
RNF216	0.058524656	0.443434014
TTC19	0.033208014	0.769864402
PTBP1	-0.193726728	0.02814342
SYT7	0.993857447	0.002206283
LARS2	-0.153837499	0.108816433
PIK3C2A	0.181779628	0.010647043
PLAUR	-0.535614544	0.081767089
ANLN	-0.319095579	0.023629363
RABGAP1	0.232083193	0.02666582
QPCTL	0.273190409	0.06308556
PPP5C	-0.211482281	0.006045775
CEP68	0.238798703	0.097230695
MAP4K3	-0.247535957	0.045612108
TMEM159	0.27145164	0.009189627
ERCC1	-0.319794917	0.055815422
CD22	-1.15622324	0.076448926
SEMA3B	0.329929385	0.122064677
MBTPS2	-0.412858669	0.00161197
PRICKLE3	0.174373555	0.122823785
EXTL3	0.009214089	0.954778596
ELOVL5	-0.059979803	0.332718248
ALOX5	0.292541914	0.747428378
UBR7	-0.389123124	0.00457151
MAP4K5	-0.005236623	0.962727998
EHD3	1.398801943	0.009693812
PSMC4	-0.269003186	0.001754335
MAN2B2	0.247404066	0.085133102
CLDN11	0.431598126	0.582928888
SLC25A39	-0.065704433	0.430105836
MVP	0.649699564	0.00964509
NUB1	0.114053936	0.194900803
PGM3	0.305033827	0.016647627
RWDD2A	0.317898121	0.044810958
CLK1	-0.080429311	0.579453228
POLR3B	-0.098682282	0.353897483
ANGEL1	0.334248309	0.006032848
DNASE1L1	0.101300802	0.483401115
DDX11	-0.530473652	0.003195127
HEBP1	-0.13737661	0.321430811
GPRC5A	0.210404272	0.373229168
MAMLD1	-0.836939388	0.013866804
TACC3	-0.25565476	0.028493104
POLA2	-0.633717855	0.000320222
ZC3H3	0.33268959	0.001051325
CAPN1	0.293838135	0.032650582
ACP3	-0.527773317	0.609339724
MDH1	-0.180241805	0.029112674
MTMR11	-0.042892104	0.796579099
COX15	-0.061719654	0.462669991
CCDC88C	0.672862863	0.000173752
WAS	0.290524844	0.462381766
DPEP1	1.033943131	0.137887784
BID	0.087603077	0.24337634
MATR3	-0.141658071	0.222064656
NPC1L1	-0.035505548	0.974964621
XYLT2	0.560711248	0.003943435
RGPD5	0.344577804	0.168228748
NUDCD3	-0.158731806	0.027310541
CHDH	-0.373762693	0.097314975
IL20RA	-0.26551795	0.678848104
CLCA4	-0.141116133	0.907007758
GLT8D1	-0.087623664	0.159268451
ATP2C1	0.112715505	0.101203741
SLC38A5	-0.888476898	0.353595187
RALBP1	-0.043115269	0.520498947
RUFY3	-0.199758558	0.032224637
CNTN1	0.186654425	0.912204489
SLC11A1	-0.291220897	0.516202416
AGPS	-0.418980936	0.000165916
STEEP1	0.189321324	0.069998782
ATP1A2	0.903616449	0.437935128
TTC27	-0.099031668	0.368365168
VSIG2	0.868438334	0.266196072
PHLDB1	0.561047383	0.015585661
MARCO	-0.355844822	0.784748254
CYP24A1	-0.160430186	0.907193427
SYT13	-1.561372675	0.294902573
CD74	0.298385556	0.661919589
HGF	-0.225273706	0.879863499
ZRANB1	0.07029037	0.339422915
NCDN	0.176631084	0.110030072
ADGRA2	0.810717963	0.059244659
SAMD4A	-0.65305885	0.002154113
MRE11	-0.041506769	0.739035811
PLEKHB1	0.044151689	0.954896878
SERPINB1	-0.141152516	0.383613245
SPAST	-0.076202797	0.399596186
OSBPL5	0.13097769	0.545598379
AQR	-0.088727223	0.163159365
CPS1	1.05759984	0.003391633
FHL1	-0.12916578	0.714150467
RTF2	-0.133888276	0.052043708
NLRP2	0.606132024	0.574418812
SLC45A4	0.496407939	0.008683055
ZNF839	0.111506929	0.274381595
ZDHHC6	-0.182324675	0.040180602
GRAMD1B	0.215416141	0.737334657
RNH1	-0.029552083	0.589058856
NDUFS1	-0.138080349	0.058789399
RB1CC1	0.148573392	0.182348644
ERP44	0.236727773	0.036464047
ALAS1	0.164415645	0.017408518
BIRC3	-0.990200195	0.000523871
AKAP11	-0.05622295	0.57799516
GLRX2	-0.131560349	0.405215196
SNAPC1	0.572081689	0.001199031
DERA	-0.194521714	0.035455794
ABCC2	-0.004523086	0.982476091
DEF6	0.019242231	0.917483504
PLEKHO1	-0.045851669	0.830913632
GCLM	-0.574544466	0.003391633
UBR2	0.068834688	0.437297573
EHD2	-0.419784567	0.018664773
CCDC28A	0.248578639	0.064920769
RRAGD	0.436558509	0.199237902
HSD17B6	0.049038552	0.928977701
TYMP	0.618553314	0.046632119
NCAPH2	-0.291848818	0.001597406
TOMM34	0.004052236	0.969499782
SEC63	1.220520842	7.18E-05
KPNA6	0.099616676	0.17266171
VIM	-0.495991597	0.044584323
RTEL1-TNFRSF6B	-0.074592641	0.958497239
FAS	-0.581051369	0.003145696
RNASET2	0.843811366	0.001405756
CD44	-0.3156894	0.124362104
KCNG1	0.353152235	0.702320675
AGPAT4	0.280200947	0.270775035
SLAMF7	0.07176814	0.925504696
BTN3A1	-0.231968806	0.208837667
MIPEP	-0.124576834	0.243325162
PRKCH	-0.060563203	0.576701236
IFNGR1	0.333804363	0.00356735
B4GALT7	0.133258861	0.346157606
SH2D2A	-0.311717882	0.580347536
VRK2	-0.22894162	0.039401952
TNFRSF1B	-0.568098852	0.006694635
VEZT	-0.351364264	0.000864172
BRD9	-0.133702901	0.051167207
SNX1	-0.128547169	0.110295502
SLC39A9	0.041493337	0.498600757
ANK1	1.021208123	0.072308609
RABEP1	-0.183520183	0.060071461
NUP160	-0.501366326	4.87E-05
BAK1	-0.117718737	0.422226335
GRN	0.521472001	0.002269227
FAM13B	-0.033072517	0.771317739
ARHGAP31	-0.725318367	0.053513985
CENPQ	-0.673395748	0.001518638
SARS1	-0.29997996	0.009105119
RANBP3	-0.013996792	0.845642792
EIPR1	-0.362936661	0.005051909
PNPLA6	0.141584081	0.376922401
IFT88	-0.422831818	0.006645496
ALG1	0.332062788	0.00219474
ZCCHC8	-0.16576799	0.046539761
ABCF2	0.055368345	0.517552292
CHPF2	0.457885286	0.000771909
FUT8	0.094040107	0.548897952
UBA6	-0.105324641	0.181537709
GAB2	-0.324516695	0.08675143
ATP6V0A1	0.495413292	0.003553965
SLC4A7	-0.113971333	0.43334924
APBA2	0.728397179	0.251969741
MAP2K3	-0.410604208	0.000387131
TMSB10	-0.528406588	0.024260539
ASTE1	-0.089609273	0.540480518
RNF19A	0.164785775	0.019198974
PEX3	-0.228706602	0.030589692
GABARAPL2	0.129196972	0.127047724
SH3YL1	-0.027578834	0.794426107
FAM136A	-0.187503773	0.011758016
VCL	-0.581041351	0.012193523
DEPDC1B	-0.806433852	0.000319972
DAPK2	1.468175853	0.002819468
NSMAF	-0.92764849	3.86E-06
ADSS2	-0.359248528	0.001205441
TIMP2	0.420743695	0.00297931
RFC1	-0.251213123	0.015757987
TBC1D23	-0.03298205	0.669785987
CUL3	0.063282333	0.374941903
MYOM2	-0.883170002	0.261584472
SLC18A1	-0.397835581	0.716643027
USP2	0.696501581	0.184138081
TUBG2	0.012337429	0.928748198
RPL26L1	-0.128259754	0.22482607
FLT4	0.290403961	0.764613743
NSUN2	-0.34146393	0.0003689
FBXO42	0.215296757	0.026247572
MFAP3	0.025908199	0.827512829
MRI1	0.025943442	0.889875253
METTL1	-0.169835347	0.218032691
AGA	-0.235139055	0.169565239
PI4K2B	0.100139017	0.273980531
BOD1L1	-0.105870094	0.130018979
MAT2B	0.059623854	0.481169374
EDC4	-0.034429998	0.659560134
TRIO	0.13264752	0.106918157
VCAN	-0.391910583	0.580711113
CLEC16A	0.025744806	0.767222081
CDH1	-0.554194076	0.481163872
MTREX	-0.158409701	0.050051916
DNAH5	0.035439039	0.883323449
ZFYVE16	0.082167455	0.438697418
RIPOR1	0.201335583	0.015263853
RAI14	-0.478051119	0.000478912
PNKP	0.083452887	0.39491338
PHLPP2	-0.362311767	0.004058925
SPDL1	-0.757106574	0.0001837
STAU2	0.066171201	0.424726057
SLC66A1	0.183776102	0.183302658
CTNS	0.163419659	0.048104703
RTN4R	0.884809076	0.016899929
PHF23	0.226908704	0.017959494
CDH10	-0.598605288	0.394091185
INPP4A	0.72967902	6.73E-05
RAB27B	-0.386668023	0.008261197
PSMA4	-0.151553868	0.059580191
LSG1	-0.062199049	0.378023527
PARP3	0.15404978	0.317623359
TNC	0.012185756	0.967413745
RIPOR3	-1.072180928	0.370374691
TDP1	-0.121466309	0.307774722
AIFM2	-0.478612603	0.002619555
SPATA7	-0.029331656	0.870534978
RETSAT	0.098945493	0.441240508
CAPG	0.034263757	0.657636677
AP2S1	-0.198046955	0.081512715
ADAM28	-0.193118961	0.8819676
DCUN1D1	0.369125151	0.000606095
JADE2	0.416665659	0.000279378
TRIT1	-0.245449424	0.008221673
ADRB1	0.240388984	0.490915592
CUL7	0.459500046	0.010568303
CTNNA1	-0.096701408	0.050827164
PHKA2	0.026492248	0.829029872
CNTLN	-0.107420609	0.843155106
EPHA3	-0.453836937	0.586464793
HSPA5	0.06692797	0.669588653
DSG2	-0.633435837	0.003168122
GEMIN8	-0.197413713	0.2292942
OFD1	-0.010319889	0.922944557
GPM6B	-0.342414903	0.710927079
WDR37	0.218709956	0.031295084
YTHDC2	-0.119176241	0.165561031
CTPS2	-0.076003805	0.523913276
ATP6V1H	0.105050205	0.154977966
POLR2B	-0.013665716	0.829226653
FAM214A	0.488233377	0.008722363
ARAP2	-0.584379979	0.007908899
CP	0.254082445	0.789858303
KATNIP	0.530341802	0.001113099
DTNBP1	-0.662089761	0.005419669
XK	-0.153054624	0.827512829
ANO2	0.712789718	0.401112054
C12orf4	-0.189910817	0.088541997
SCML1	-2.002197611	0.002271536
WWC3	0.402353641	0.1098969
ARHGAP6	-1.024657479	0.298191043
FAM184B	-0.239145148	0.863284676
MAP4	-0.049889999	0.562615781
GOPC	0.545381037	0.000380581
USP28	-0.203111164	0.021662573
TSPAN17	0.27016924	0.011251293
NOP16	-0.513579597	0.004033982
CC2D2A	0.255485737	0.281273407
RRM2B	0.629177852	0.000197656
SNX29	-0.067401802	0.750595331
MRPS10	-0.161098203	0.042786698
VPS13D	0.070637051	0.313191818
FAM120A	0.325651699	0.004603536
R3HDM1	0.106883444	0.176903534
COL9A2	0.642231694	0.212844625
KITLG	-0.347027621	0.032010123
ERCC8	-0.648930465	0.000963711
ADAMTS6	-0.847394177	0.065600663
H6PD	0.361709454	0.018004067
VAMP3	-0.194673431	0.00245467
PER3	0.226386204	0.130742538
UTS2	0.551989637	0.027063824
TNFRSF9	0.718991654	0.104637312
EPN3	0.584660943	0.055303703
LTBP1	0.063890009	0.807747388
RCN1	0.068857188	0.264495215
RFC2	-0.407541546	0.002976455
CLPTM1L	0.096761908	0.093398449
NEDD4L	-0.230828772	0.046556327
PPP1R3F	0.405996148	0.012086754
HEXB	0.217656062	0.007085091
PTCD2	-0.383454592	0.008317198
JKAMP	0.008278126	0.896983079
DKK3	0.697847311	0.246554931
MCUR1	-0.024150173	0.855835485
LIMA1	-0.107090862	0.288917334
LETMD1	-0.116825811	0.283193026
SLC4A8	0.554721743	0.344106357
LAMC3	0.990524812	0.301248058
MAPK9	-0.22198972	0.018100031
BCAR1	0.295432562	0.003233002
FAM160A2	0.198536967	0.05779883
HERPUD1	-0.041514024	0.837469463
HOMER3	-0.16235754	0.325409668
RAD51	-1.669494901	0.000223361
POLQ	-0.515554926	0.001394285
PIK3CB	-0.192452221	0.026467996
CYBA	0.428854087	0.036022178
THOC3	-0.111704925	0.089247428
HEBP2	-0.377112103	0.009038862
MPHOSPH9	-0.356146341	0.005284912
PLEKHA5	-0.050037884	0.863826598
PRSS8	0.934317274	0.014897593
SIKE1	-0.531807172	0.001597406
RRP12	-0.061842582	0.526807428
FNIP2	-0.26352152	0.033907921
MSMO1	0.699995591	0.000670908
TTC17	0.802039448	0.001136232
FSTL4	1.117222857	0.020419261
AKR7A2	-0.138230598	0.219911072
MRTO4	-0.307915576	0.006015852
NNAT	-0.420642749	0.662724004
USE1	-0.100059785	0.424611982
MCF2L2	-0.016512268	0.97439823
LAMA3	-0.085482254	0.808076205
AP5M1	0.119548232	0.118074794
ANAPC4	0.09406504	0.305289229
KCNQ1	1.796122949	0.007068937
TRAPPC3	-0.106038946	0.093377754
PHPT1	0.164715539	0.236627541
ENTPD2	0.628707207	0.061160677
LY75	-0.688407027	0.408896545
OPN3	0.129184401	0.380477079
SDCCAG8	-0.570904265	0.009831578
PTPRN	0.148486382	0.917499759
HHAT	0.194791158	0.338321862
KIF1B	-0.062525931	0.540450531
TBC1D22A	0.139688441	0.082067466
SYNE2	-0.116989146	0.277396988
PLEKHH1	-0.331589121	0.112024908
ATP9A	0.431293824	0.002369219
FAM168A	0.080073935	0.443971346
RELT	-0.321978158	0.03101535
GALC	0.02506071	0.907976367
NOP58	-0.386209991	0.001321062
SZRD1	-0.296626945	0.004600187
KCNH2	1.05841358	0.023699272
CUL1	0.134043943	0.073389479
FAM114A2	-0.425357966	0.002371437
CYFIP2	0.834768956	0.000882664
TAB2	0.286743382	0.008242439
GINM1	0.477103771	0.000190976
EIF2AK2	0.261232067	0.089901186
USP36	-0.028944016	0.738342574
MCOLN3	0.270728544	0.534250137
CCDC85A	-0.31000353	0.81498869
PUM2	-0.117426824	0.030115317
MRPL43	-0.024393184	0.801586225
HPF1	-0.410302853	0.011645272
ZFR	0.373660607	0.003793707
TRAF1	-0.184432324	0.606693403
RC3H2	0.722837233	0.000197055
IL17RB	0.164482671	0.531243784
TRAF3IP2	-0.088093221	0.631130727
GYG2	0.501751769	0.607068028
DCBLD2	-0.361236989	0.208628926
SERPINB3	0.18801456	0.811344236
SOAT1	-0.22403942	0.081991328
PKP2	-0.35745098	0.066593845
GDI2	0.401297442	0.000776853
ATG5	-0.018992551	0.854140144
TMCC3	0.09950005	0.823024672
PITHD1	-0.382982846	0.000366434
USP13	0.049569907	0.707656297
ATP11B	-0.254849092	0.009223186
LAMC2	-0.961074292	0.283327318
CDK14	0.84996141	0.01197664
SEC61A1	0.205869612	0.073792746
PPP1R12A	-0.668938163	0.000431541
RASGRF1	-0.625823046	0.412754333
CAMK2B	0.466416911	0.396941166
CROCC	0.290982677	0.04057755
POLR3E	1.219280231	1.43E-05
ATP2B4	0.385880833	0.009485913
ZC3H11A	-0.181842871	0.053585155
RIOK2	-0.052787552	0.803146078
YIPF1	-0.328412437	0.023854096
NDC1	0.74191893	6.63E-05
DGKG	-1.071026766	0.02580035
FLYWCH1	0.231195302	0.032997074
UNKL	-0.997505075	3.98E-05
TBXAS1	-0.606756792	0.590396555
ALDH18A1	0.06466921	0.522803604
GATB	-0.445665509	0.001662802
CDK17	-0.513103721	0.000335054
DNAJC25	-0.226565142	0.07085528
SLC2A3	-0.200228603	0.706367577
PSD	0.62314416	0.117608723
STYK1	-0.583725627	0.288747806
WNK1	0.259033196	0.012838103
OGFR	0.494500238	0.001362131
GNA15	0.059031085	0.940741362
PIGV	-0.108344488	0.426664636
PTPRU	0.412750528	0.123302883
SNRNP40	-0.257729362	0.004016602
RIMBP2	-1.380463398	0.383096043
COL11A1	-1.191296247	0.361577942
QSER1	-0.572309344	0.000215172
MPC1	-0.132444305	0.34081324
ACAA1	0.122054673	0.179811464
BCAT1	-0.384871856	0.430037804
SPAG4	0.545045319	0.037251632
NCKAP1	-0.038692499	0.521907582
MRPS35	0.211557661	0.007419014
GUCY1B1	-0.184095696	0.801915266
TNK2	0.237661493	0.069291233
MON2	0.084998866	0.202221613
CDH3	0.032764386	0.962171919
DGAT2	0.511737486	0.089425023
CS	0.268295659	0.00474162
LTK	-0.318021875	0.805512583
MRPS24	-0.012577953	0.898947233
ELMO2	0.238799881	0.038263426
WAPL	0.232789028	0.004654107
VMP1	-0.042171341	0.616913425
APPBP2	0.117098718	0.127597599
POLD1	0.158243897	0.112261288
SEZ6	-0.701434739	0.495316273
EIF4B	0.109219039	0.096573645
BICRA	0.403247926	0.008487327
SPHK2	0.15391783	0.163574407
RPL18	-0.005915641	0.956937232
CA11	0.781188757	0.004021424
ISOC2	0.339622958	0.002837863
U2AF2	0.318859006	0.01126243
EPN1	0.034082619	0.784252279
MTMR1	0.328592101	0.011580059
GPC1	0.553175899	0.051422819
ADCK1	-0.988188395	0.000779065
HAGH	0.113311356	0.379814008
CASP8	-0.104970419	0.255974332
LIMCH1	0.284127977	0.582891972
INTS13	-0.21926867	0.008894845
TM7SF3	-0.527757672	0.001005881
SPA17	-0.307837654	0.022385047
CCN5	1.781160601	0.135044889
ST3GAL6	-0.375634335	0.225058952
ATP2C2	-0.74005163	0.40776206
NGFR	1.041842693	0.109489819
CDON	0.16769207	0.45437596
TNPO3	-0.288110318	0.000215172
TMEM161A	0.296003225	0.004128016
LPAR2	0.381239315	0.003553965
CTSA	0.41014508	0.000366434
SUGP2	-0.382043843	0.000800795
SLC12A2	-0.049963701	0.582046001
SNX24	-0.203290927	0.139741828
CNN2	-0.250011118	0.012841214
ABCA7	0.506564075	0.037193021
SNCAIP	-0.022509553	0.958497239
BTBD1	-0.102557415	0.225513162
FAR2	-0.49284519	0.027854067
BCAS1	0.807971505	0.067410634
CHI3L2	0.720468198	0.984637914
SBNO2	0.165602715	0.175898779
CALCRL	-0.769454375	0.051107693
ANKS1A	-0.067768029	0.329235015
AP3D1	0.060825549	0.329504945
SLC9A3R2	0.127684745	0.355484369
NTHL1	0.057331903	0.674230863
UHRF1BP1	-0.183389277	0.085470216
GNAI3	-0.0633551	0.371334572
IPO5	-0.378317645	0.000963711
OAT	0.143866152	0.060080377
WDR3	-0.288273232	0.015321956
PKN2	-0.101768725	0.141941695
WDR18	-0.119001232	0.193869979
TRAM2	-0.017629332	0.889875253
NTN1	0.079007241	0.730500961
MCM10	-0.979904894	0.000160277
DGKA	-0.25294561	0.172856486
ERBB3	0.371422967	0.003556487
ANKRD44	0.587358164	0.008156183
KARS1	-0.277281651	0.001467591
ADAT1	-0.051866636	0.641713291
PDIA5	-0.106605536	0.335068943
TBC1D22B	0.005272787	0.959552205
NDUFB4	0.046255271	0.753485867
MYLK	-0.195125379	0.499811612
ZC3H15	-0.858044332	2.43E-05
MAP2K4	-0.111153097	0.947155534
PACC1	0.057688991	0.608943556
SLK	-0.257470619	0.012732556
CYB5R4	1.255987504	7.42E-05
COL17A1	-0.472167373	0.064792679
GSTO2	-0.299157457	0.001642288
SEC61A2	0.370764557	0.006492867
PRKCQ	-0.331791455	0.884286778
ASB1	-0.254796054	0.019154837
FAM107B	-0.433395626	0.01605874
ME1	-0.249293762	0.062915591
TBC1D1	-0.231666129	0.192939035
MTHFD2	-0.379017467	0.011320338
SLC9A7	-0.190170756	0.156578403
PDE4A	0.645963768	0.000577187
PPP2R5A	0.343451361	0.008349511
CTNNA2	-0.847591821	0.983146589
ELAVL1	-0.106690053	0.087258304
DIP2B	0.407187827	0.016205682
ZMYND12	-0.127825055	0.754094719
SLC9A3	-0.043337669	0.771317739
NGEF	-0.374729815	0.160577076
ASPM	-0.173060042	0.22287309
ELOVL1	-0.029841607	0.744814058
POLR1H	-0.347703753	0.048788401
CLDN18	-0.436249282	0.842053197
ATXN3	0.06716563	0.558659433
GOLGA5	0.047434493	0.517937509
LRRC40	-0.472700374	0.000893652
ISOC1	-0.441202571	0.002226295
EML1	-0.256110489	0.684499113
TRMT11	-0.128582859	0.246489351
THUMPD1	0.919780328	4.39E-05
MSANTD3	-0.452399318	0.000311718
KIF26A	1.212337293	0.046472436
ATG2B	-0.070282701	0.654441779
ARFGEF1	-0.030490171	0.696485157
MTFR1	-0.300413646	0.001864754
STAG3	0.304550099	0.663636207
FECH	0.679694293	0.003995971
MYO9A	-0.119116575	0.227479623
PFKP	-0.431616052	0.002609297
IDI1	0.154306096	0.148198763
PLPP1	0.762332795	0.000990698
NEO1	0.378752097	0.005546954
TRAM1	0.347236841	0.011500828
PHKA1	-0.202131894	0.04542185
TNFRSF1A	0.076598077	0.70601276
CACNB1	0.423616003	0.016407845
EVI5	-0.24509507	0.007285905
STOML1	-0.162780544	0.382646309
PKM	-0.22823212	0.03240696
DHX29	-0.075209195	0.363361891
METTL22	0.002656197	0.987267012
RRP15	-0.292773492	0.006585486
DHX8	0.041574093	0.589322219
PRKCZ	0.3488175	0.006635493
IARS2	0.011579575	0.906613417
SYT1	-0.428519622	0.742905366
NAV3	-1.844970384	0.008639586
IDH3G	-0.025523328	0.85465776
ROGDI	0.307210583	0.056841329
PDZD4	0.562211597	0.321125101
ROCK1	0.015915145	0.87466232
PDK3	0.11616402	0.410824235
RASSF1	-0.420318246	0.021877231
FGFR3	1.742577714	0.000457715
IFI35	0.703261643	0.057701479
HEATR6	0.112334666	0.299141738
COASY	0.033998758	0.700205929
PLEKHH3	0.42294979	0.005635623
OTUD5	0.181098487	0.019127023
TBC1D25	-0.193524913	0.143656804
ACSL4	-0.12940712	0.47985921
INPP5A	0.613351573	0.000294991
GPKOW	-0.043523057	0.671574252
GRIPAP1	0.128533162	0.193885841
FTSJ1	0.513259428	0.001315238
PRR11	-0.875505394	0.000401107
REEP1	-0.239442149	0.698855781
ATP11A	-0.040916248	0.82584109
POLR1A	0.592420043	0.001112173
LAPTM4A	0.089186351	0.208628926
TTC7A	0.243583922	0.015830696
IP6K2	0.31471129	0.006969287
SRBD1	-0.096420936	0.407511008
KIF2A	-0.261917814	0.004753414
RASGRP2	0.214272156	0.889875253
PSME4	-0.154727073	0.075874267
